community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	updated_csc009	updated_csc052	M_s_e	0.3333333333333333	0.07	1	0.023333333333333334
all	minimal	updated_csc009	updated_csc052	M_urea_e	0.3333333333333333	0.05	1	0.016666666666666666
all	minimal	updated_csc009	csc043	M_arg__L_e	1.0	0.05	1	0.05
all	minimal	updated_csc009	csc043	M_cu2_e	1.0	1.0	1	1.0
all	minimal	updated_csc009	csc043	M_glyald_e	1.0	0.01	1	0.01
all	minimal	updated_csc009	csc043	M_glyc_e	1.0	0.01	1	0.01
all	minimal	updated_csc009	csc043	M_gua_e	1.0	0.05	1	0.05
all	minimal	updated_csc009	csc043	M_h2o_e	1.0	0.02	1	0.02
all	minimal	updated_csc009	csc043	M_h2s_e	1.0	0.38	1	0.38
all	minimal	updated_csc009	csc043	M_h_e	1.0	0.01	1	0.01
all	minimal	updated_csc009	csc043	M_lys__L_e	1.0	0.04	1	0.04
all	minimal	updated_csc009	csc043	M_nh4_e	1.0	0.07	1	0.07
all	minimal	updated_csc009	csc043	M_s_e	1.0	0.07	1	0.07
all	minimal	updated_csc009	csc043	M_xylan4_e	1.0	1.0	1	1.0
all	minimal	updated_csc031	updated_csc009	M_acald_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	updated_csc009	M_arg__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	updated_csc009	M_fe3_e	1.0	1.0	1	1.0
all	minimal	updated_csc031	updated_csc009	M_fe3pyovd_kt_e	1.0	0.05	1	0.05
all	minimal	updated_csc031	updated_csc009	M_glyald_e	1.0	0.91	1	0.91
all	minimal	updated_csc031	updated_csc009	M_glyc_e	1.0	0.04	1	0.04
all	minimal	updated_csc031	updated_csc009	M_h2s_e	1.0	0.46	1	0.46
all	minimal	updated_csc031	updated_csc009	M_h_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	updated_csc009	M_lys__L_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	updated_csc009	M_nh4_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	updated_csc009	M_o2_e	1.0	0.98	1	0.98
all	minimal	updated_csc031	updated_csc009	M_orn_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	updated_csc009	M_rib__D_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	updated_csc040	M_acald_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	updated_csc040	M_arg__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	updated_csc040	M_fe3_e	1.0	1.0	1	1.0
all	minimal	updated_csc031	updated_csc040	M_fe3pyovd_kt_e	1.0	0.05	1	0.05
all	minimal	updated_csc031	updated_csc040	M_glyc_e	1.0	0.04	1	0.04
all	minimal	updated_csc031	updated_csc040	M_gua_e	1.0	0.05	1	0.05
all	minimal	updated_csc031	updated_csc040	M_h2s_e	1.0	0.46	1	0.46
all	minimal	updated_csc031	updated_csc040	M_h_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	updated_csc040	M_lys__L_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	updated_csc040	M_mal__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	updated_csc040	M_meoh_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	updated_csc040	M_nh4_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	updated_csc040	M_orn_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	updated_csc040	M_pi_e	1.0	1.0	1	1.0
all	minimal	updated_csc031	updated_csc040	M_ser__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	updated_csc040	M_ura_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	updated_csc052	M_acald_e	0.5	0.02	1	0.01
all	minimal	updated_csc031	updated_csc052	M_arg__L_e	0.5	0.01	1	0.005
all	minimal	updated_csc031	updated_csc052	M_fe3_e	0.5	1.0	1	0.5
all	minimal	updated_csc031	updated_csc052	M_glyald_e	0.5	0.91	1	0.455
all	minimal	updated_csc031	updated_csc052	M_glyc_e	0.5	0.04	1	0.02
all	minimal	updated_csc031	updated_csc052	M_h2s_e	0.5	0.46	1	0.23
all	minimal	updated_csc031	updated_csc052	M_h_e	0.5	0.02	1	0.01
all	minimal	updated_csc031	updated_csc052	M_lys__L_e	0.5	0.02	1	0.01
all	minimal	updated_csc031	updated_csc052	M_nac_e	0.5	0.02	1	0.01
all	minimal	updated_csc031	updated_csc052	M_nh4_e	0.5	0.01	1	0.005
all	minimal	updated_csc031	updated_csc052	M_orn_e	0.5	0.02	1	0.01
all	minimal	updated_csc031	updated_csc052	M_ptrc_e	0.5	0.02	1	0.01
all	minimal	updated_csc031	updated_csc052	M_rib__D_e	0.5	0.02	1	0.01
all	minimal	updated_csc031	csc043	M_acald_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	csc043	M_arg__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	csc043	M_cu2_e	1.0	1.0	1	1.0
all	minimal	updated_csc031	csc043	M_glyald_e	1.0	0.91	1	0.91
all	minimal	updated_csc031	csc043	M_glyc_e	1.0	0.04	1	0.04
all	minimal	updated_csc031	csc043	M_gua_e	1.0	0.05	1	0.05
all	minimal	updated_csc031	csc043	M_h2s_e	1.0	0.46	1	0.46
all	minimal	updated_csc031	csc043	M_h_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	csc043	M_lys__L_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	csc043	M_nh4_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	csc043	M_rib__D_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	csc043	M_ura_e	1.0	0.01	1	0.01
all	minimal	updated_csc031	csc043	M_xylan4_e	1.0	0.05	1	0.05
all	minimal	updated_csc040	updated_csc009	M_acald_e	1.0	0.05	1	0.05
all	minimal	updated_csc040	updated_csc009	M_arg__L_e	1.0	0.29	1	0.29
all	minimal	updated_csc040	updated_csc009	M_fe3_e	1.0	0.71	1	0.71
all	minimal	updated_csc040	updated_csc009	M_fe3pyovd_kt_e	1.0	0.07	1	0.07
all	minimal	updated_csc040	updated_csc009	M_glyc_e	1.0	0.04	1	0.04
all	minimal	updated_csc040	updated_csc009	M_h2_e	1.0	0.28	1	0.28
all	minimal	updated_csc040	updated_csc009	M_h2o_e	1.0	0.02	1	0.02
all	minimal	updated_csc040	updated_csc009	M_h2s_e	1.0	0.03	1	0.03
all	minimal	updated_csc040	updated_csc009	M_h_e	1.0	0.03	1	0.03
all	minimal	updated_csc040	updated_csc009	M_hom__L_e	1.0	0.02	1	0.02
all	minimal	updated_csc040	updated_csc009	M_lys__L_e	1.0	0.03	1	0.03
all	minimal	updated_csc040	updated_csc009	M_o2_e	1.0	0.4	1	0.4
all	minimal	updated_csc040	updated_csc031	M_LalaDgluMdap_e	0.3333333333333333	0.05	1	0.016666666666666666
all	minimal	updated_csc040	updated_csc031	M_acald_e	0.3333333333333333	0.05	1	0.016666666666666666
all	minimal	updated_csc040	updated_csc031	M_arg__L_e	0.3333333333333333	0.29	1	0.09666666666666665
all	minimal	updated_csc040	updated_csc031	M_chol_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc040	updated_csc031	M_cit_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc040	updated_csc031	M_glyc_e	0.3333333333333333	0.04	1	0.013333333333333332
all	minimal	updated_csc040	updated_csc031	M_gua_e	0.3333333333333333	0.02	1	0.006666666666666666
all	minimal	updated_csc040	updated_csc031	M_h2o_e	0.3333333333333333	0.02	1	0.006666666666666666
all	minimal	updated_csc040	updated_csc031	M_h2s_e	0.3333333333333333	0.03	1	0.009999999999999998
all	minimal	updated_csc040	updated_csc031	M_h_e	0.3333333333333333	0.03	1	0.009999999999999998
all	minimal	updated_csc040	updated_csc031	M_hom__L_e	0.3333333333333333	0.02	1	0.006666666666666666
all	minimal	updated_csc040	updated_csc031	M_lys__L_e	0.3333333333333333	0.03	1	0.009999999999999998
all	minimal	updated_csc040	updated_csc031	M_meoh_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc040	updated_csc031	M_xyl__D_e	0.3333333333333333	0.02	1	0.006666666666666666
all	minimal	updated_csc040	updated_csc052	M_LalaDgluMdap_e	0.3333333333333333	0.05	1	0.016666666666666666
all	minimal	updated_csc040	updated_csc052	M_acald_e	0.3333333333333333	0.05	1	0.016666666666666666
all	minimal	updated_csc040	updated_csc052	M_arg__L_e	0.3333333333333333	0.29	1	0.09666666666666665
all	minimal	updated_csc040	updated_csc052	M_chol_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc040	updated_csc052	M_fe3_e	0.3333333333333333	0.71	1	0.23666666666666664
all	minimal	updated_csc040	updated_csc052	M_glyc_e	0.3333333333333333	0.04	1	0.013333333333333332
all	minimal	updated_csc040	updated_csc052	M_h2o_e	0.3333333333333333	0.02	1	0.006666666666666666
all	minimal	updated_csc040	updated_csc052	M_h2s_e	0.3333333333333333	0.03	1	0.009999999999999998
all	minimal	updated_csc040	updated_csc052	M_h_e	0.3333333333333333	0.03	1	0.009999999999999998
all	minimal	updated_csc040	updated_csc052	M_lys__L_e	0.3333333333333333	0.03	1	0.009999999999999998
all	minimal	updated_csc040	csc043	M_acald_e	1.0	0.05	1	0.05
all	minimal	updated_csc040	csc043	M_arg__L_e	1.0	0.29	1	0.29
all	minimal	updated_csc040	csc043	M_chol_e	1.0	0.01	1	0.01
all	minimal	updated_csc040	csc043	M_cu2_e	1.0	1.0	1	1.0
all	minimal	updated_csc040	csc043	M_glyc_e	1.0	0.04	1	0.04
all	minimal	updated_csc040	csc043	M_gua_e	1.0	0.02	1	0.02
all	minimal	updated_csc040	csc043	M_h2o_e	1.0	0.02	1	0.02
all	minimal	updated_csc040	csc043	M_h2s_e	1.0	0.03	1	0.03
all	minimal	updated_csc040	csc043	M_h_e	1.0	0.03	1	0.03
all	minimal	updated_csc040	csc043	M_lys__L_e	1.0	0.03	1	0.03
all	minimal	updated_csc040	csc043	M_ura_e	1.0	0.6	1	0.6
all	minimal	updated_csc040	csc043	M_xylan4_e	1.0	0.58	1	0.58
all	minimal	updated_csc052	updated_csc009	M_acald_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc009	M_arg__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc009	M_fe3_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc009	M_glu__L_e	1.0	0.02	1	0.02
all	minimal	updated_csc052	updated_csc009	M_glyald_e	1.0	0.04	1	0.04
all	minimal	updated_csc052	updated_csc009	M_glyc_e	1.0	0.02	1	0.02
all	minimal	updated_csc052	updated_csc009	M_gthrd_e	1.0	0.03	1	0.03
all	minimal	updated_csc052	updated_csc009	M_h2o_e	1.0	0.02	1	0.02
all	minimal	updated_csc052	updated_csc009	M_h_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc009	M_lys__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc009	M_o2_e	1.0	1.0	1	1.0
all	minimal	updated_csc052	updated_csc031	M_acald_e	0.5	0.01	1	0.005
all	minimal	updated_csc052	updated_csc031	M_arg__L_e	0.5	0.01	1	0.005
all	minimal	updated_csc052	updated_csc031	M_glyald_e	0.5	0.04	1	0.02
all	minimal	updated_csc052	updated_csc031	M_glyb_e	0.5	0.02	1	0.01
all	minimal	updated_csc052	updated_csc031	M_glyc_e	0.5	0.02	1	0.01
all	minimal	updated_csc052	updated_csc031	M_h2o_e	0.5	0.02	1	0.01
all	minimal	updated_csc052	updated_csc031	M_h_e	0.5	0.01	1	0.005
all	minimal	updated_csc052	updated_csc031	M_lys__L_e	0.5	0.01	1	0.005
all	minimal	updated_csc052	updated_csc031	M_nac_e	0.5	0.01	1	0.005
all	minimal	updated_csc052	updated_csc031	M_xyl__D_e	0.5	0.2	1	0.1
all	minimal	updated_csc052	updated_csc040	M_4abut_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc040	M_acald_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc040	M_arg__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc040	M_asp__L_e	1.0	0.04	1	0.04
all	minimal	updated_csc052	updated_csc040	M_fe3_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc040	M_glu__L_e	1.0	0.02	1	0.02
all	minimal	updated_csc052	updated_csc040	M_glyc_e	1.0	0.02	1	0.02
all	minimal	updated_csc052	updated_csc040	M_h2o_e	1.0	0.02	1	0.02
all	minimal	updated_csc052	updated_csc040	M_h_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc040	M_lys__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc040	M_mal__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	updated_csc040	M_pi_e	1.0	0.75	1	0.75
all	minimal	updated_csc052	updated_csc040	M_s_e	1.0	0.5	1	0.5
all	minimal	updated_csc052	csc043	M_acald_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	csc043	M_arg__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	csc043	M_cu2_e	1.0	1.0	1	1.0
all	minimal	updated_csc052	csc043	M_glyald_e	1.0	0.04	1	0.04
all	minimal	updated_csc052	csc043	M_glyc_e	1.0	0.02	1	0.02
all	minimal	updated_csc052	csc043	M_h2o_e	1.0	0.02	1	0.02
all	minimal	updated_csc052	csc043	M_h_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	csc043	M_lys__L_e	1.0	0.01	1	0.01
all	minimal	updated_csc052	csc043	M_s_e	1.0	0.5	1	0.5
all	minimal	updated_csc052	csc043	M_xylan4_e	1.0	0.79	1	0.79
all	minimal	csc043	updated_csc009	M_arg__L_e	1.0	0.25	1	0.25
all	minimal	csc043	updated_csc009	M_fe3_e	1.0	0.01	1	0.01
all	minimal	csc043	updated_csc009	M_glyald_e	1.0	0.01	1	0.01
all	minimal	csc043	updated_csc009	M_glyc_e	1.0	0.03	1	0.03
all	minimal	csc043	updated_csc009	M_h2o_e	1.0	0.01	1	0.01
all	minimal	csc043	updated_csc009	M_h2s_e	1.0	0.22	1	0.22
all	minimal	csc043	updated_csc009	M_lys__L_e	1.0	0.21	1	0.21
all	minimal	csc043	updated_csc009	M_nh4_e	1.0	0.27	1	0.27
all	minimal	csc043	updated_csc009	M_o2_e	1.0	1.0	1	1.0
