Successful queries
Query	BioCyc Common-Name	BioCyc	Kegg	CHEBI	PubChem	HMDB	ChemSpider	Metabolights	MetanetX	BiGG	SEED	InChi
ADENOSINE	CF:C10H13N5O4	InChI-key:InChiKey=OIRDTQYFTABQOQ-KQYNXXCUSA-N	adenosine	ADENOSINE	C00212	16335	60961	HMDB00050	18660726	MTBLC16335	MNXM212	adn	cpd00182
ADENOSINE 5'-MONOPHOSPHATE	CF:C10H14N5O7P	InChI-key:InChiKey=UDMBCSSLTHHNCD-KQYNXXCUSA-N	AMP	AMP	C00020	456215	15938965	HMDB00045	10239183	MTBLC456215	NIL	amp	NIL
Aspartic acid	CF:C4H7NO4	InChI-key:InChiKey=CKLJMWTZIZZHCS-REOHCLBHSA-N	L-aspartate	L-ASPARTATE	C00049	29991	5460294	HMDB00191	4573879	MTBLC29991	MNXM42	asp__L	NIL
Biuret	CF:C2H5N3O2	InChI-key:InChiKey=OHJMTUPIZMNBFR-UHFFFAOYSA-N	biuret	CPD-809	C06555	18138	7913	NIL	7625	NIL	MNXM1545	NIL	cpd03963
Cadaverine	CF:C5H14N2	InChI-key:InChiKey=VHRGRCVQAFMJIZ-UHFFFAOYSA-N	cadaverine	CADAVERINE	C01672	58384	3718401	HMDB02322	2949420	NIL	MNXM943	15dap	cpd01155
Choline	CF:C5H14NO	InChI-key:InChiKey=OEYIOHPDSNJKLS-UHFFFAOYSA-N	choline	CHOLINE	C00114	15354	305	HMDB00097	299	MTBLC15354	MNXM90	chol	cpd00098
Cinnamic acid	CF:C9H8O2	InChI-key:InChiKey=WBYWAXJHAXSJNI-VOTSOKGWSA-N	trans-cinnamate	CPD-674	C00423	15669	5957728	HMDB00930	4762929	MTBLC15669	MNXM438	cinnm	NIL
citrulline	CF:C6H13N3O3	InChI-key:InChiKey=RHGKLRLOHDJJDR-UHFFFAOYSA-N	L-citrulline	L-CITRULLINE	C00327	57743	6992098	HMDB00904	NIL	MTBLC16349	MNXM211	citr__L	cpd00274
Cyclo-prolylglycine	CF:C7H10N2O2	InChI-key:InChiKey=OWOHLURDBZHNGG-YFKPBYRVSA-N	cyclo(glycyl-L-prolyl)	CPD-20368	NIL	NIL	126154	NIL	NIL	NIL	NIL	NIL	NIL
Cyclo(Leu-Pro)	CF:C11H18N2O2	InChI-key:InChiKey=SZJNCZMRZAUNQT-IUCAKERBSA-N	cyclo(L-leucyl-L-prolyl)	CPD-20369	NIL	133094	7074739	NIL	NIL	NIL	NIL	NIL	NIL
CYCLOPENTANONE	CF:C5H8O	InChI-key:InChiKey=BGTOWKSIORTVQH-UHFFFAOYSA-N	cyclopentanone	CYCLOPENTANONE	C00557	16486	8452	HMDB31407	8141	NIL	MNXM1658	NIL	cpd00436
Cyromazine	CF:C6H10N6	InChI-key:InChiKey=LVQDKIWDGQRHTE-UHFFFAOYSA-N	N-cyclopropylmelamine	CPD-7403	C14147	30260	47866	HMDB29862	43550	NIL	MNXM8478	NIL	cpd09846
Cytarabine	CF:C9H13N3O5	InChI-key:InChiKey=UHDGCWIWMRVCDJ-CCXZUQQUSA-N	cytarabine	CPD-15099	C02961	28680	6253	HMDB15122	NIL	NIL	MNXM16983	NIL	cpd01900
Cytosine	CF:nan	InChI-key:InChiKey=nan	cytosine	CYTOSINE	C00380	16040	597	HMDB00630	577	MTBLC16040	MNXM761	csn	cpd00307
D-Ala-D-ala	CF:C6H12N2O3	InChI-key:InChiKey=DEFJQIDDEAULHB-QWWZWVQMSA-N	D-alanyl-D-alanine	D-ALA-D-ALA	C00993	57822	6992112	HMDB03459	NIL	NIL	MNXM669	alaala	cpd00731
DETHIOBIOTIN	CF:C10H18N2O3	InChI-key:InChiKey=AUTOLBMXDDTRRT-JGVFFNPUSA-N	dethiobiotin	DETHIOBIOTIN	C01909	57861	25244917	HMDB03581	NIL	NIL	MNXM1020	dtbt	cpd01311
DIETHANOLAMINE	CF:C4H11NO2	InChI-key:InChiKey=ZBCBWPMODOFKDW-UHFFFAOYSA-N	diethanolamine	CPD-25876	C06772	28123	8113	HMDB0004437	NIL	NIL	NIL	NIL	NIL
Ectoine	CF:C6H10N2O2	InChI-key:InChiKey=WQXNXVUDBPYKBA-YFKPBYRVSA-N	ectoine	ECTOINE	C06231	58515	6993223	NIL	NIL	NIL	MNXM2227	NIL	cpd03727
Gabapentin Related Compound E	CF:C9H14O4	InChI-key:InChiKey=SDAXMMUAZRUWNL-UHFFFAOYSA-N	azelate	CPD0-1265	C08261	78208	3801344	HMDB00784	3028648	MTBLC48131	MNXM43148	NIL	cpd05177
gamma-Glutamylleucine	CF:C11H20N2O5	InChI-key:InChiKey=MYFMARDICOWMQP-YUMQZZPRSA-N	gamma-L-glutamyl-L-leucine	CPD-20391	NIL	133038	7009565	NIL	NIL	NIL	NIL	NIL	NIL
gamma-Glutamylmethionine	CF:C10H18N2O5S	InChI-key:InChiKey=RQNSKRXMANOPQY-BQBZGAKWSA-N	gamma-L-glutamyl-L-methionine	CPD-23014	NIL	133690	7009566	NIL	NIL	NIL	NIL	NIL	NIL
Guanine	CF:C5H5N5O	InChI-key:InChiKey=UYTPUPDQBNUYGX-UHFFFAOYSA-N	guanine	GUANINE	C00242	16235	764	HMDB00132	744	MTBLC16235	MNXM259	gua	cpd00207
HISTAMINE	CF:C5H9N3	InChI-key:InChiKey=NTYJJOPFIAHURM-UHFFFAOYSA-N	histamine	HISTAMINE	C00388	58432	25201573	HMDB00870	NIL	MTBLC58432	MNXM635	NIL	cpd00312
Hypoxanthine	CF:C5H4N4O	InChI-key:InChiKey=FDGQSTZJBFJUBT-UHFFFAOYSA-N	hypoxanthine	HYPOXANTHINE	C00262	17368	135398638	HMDB00157	768	MTBLC17368	NIL	hxan	NIL
INDOLE-3-ACETALDEHYDE	CF:nan	InChI-key:InChiKey=nan	(indol-3-yl)acetaldehyde	INDOLE_ACETALDEHYDE	C00637	18086	800	HMDB01190	778	MTBLC18086	MNXM518	NIL	cpd00486
INDOLE-3-ETHANOL	CF:nan	InChI-key:InChiKey=nan	(indol-3-yl)ethanol	CPD-341	C00955	17890	10685	HMDB03447	10235	MTBLC17890	MNXM1686	NIL	cpd00704
Indoline	CF:C8H9N	InChI-key:InChiKey=LPAGFVYQRIESJQ-UHFFFAOYSA-N	2-phenylethanimine	CPD-23526	NIL	137093	11734968	NIL	13605873	NIL	NIL	NIL	NIL
Isoleucine	CF:C6H13NO2	InChI-key:InChiKey=AGPKZVBTJJNPAG-UHFFFAOYSA-N	L-isoleucine	ILE	C00407	58045	7043901	HMDB00172	NIL	MTBLC58045	MNXM231	ile__L	cpd00322
L-2-Aminoadipic acid	CF:C6H11NO4	InChI-key:InChiKey=OYIFNHCXNCRBQI-BYPYZUCNSA-N	L-2-aminoadipate	CPD-468	C00956	58672	6992111	HMDB00510	5360261	MTBLC58672	MNXM268	NIL	cpd00705
L-Arginine	CF:C6H14N4O2	InChI-key:InChiKey=ODKSFYDXXFIFQN-BYPYZUCNSA-N	L-arginine	ARG	C00062	32682	1549073	HMDB00517	1266045	MTBLC32682	MNXM70	arg__L	NIL
L-beta-Homolysine	CF:C7H16N2O2	InChI-key:InChiKey=PJDINCOFOROBQW-LURJTMIESA-N	L-beta-homolysine	CPD-20027	NIL	NIL	7021949	NIL	2042257	NIL	NIL	NIL	NIL
L-CARNITINE	CF:C7H15NO3	InChI-key:InChiKey=PHIQHXFUZVPYII-ZCFIWIBFSA-N	L-carnitine	CARNITINE	C00318	16347	10917	HMDB14721	10455	MTBLC16347	MNXM173	crn	NIL
L-Glutamic acid	CF:C5H9NO4	InChI-key:InChiKey=WHUUTDBJXJRKMK-VKHMYHEASA-N	L-glutamate	GLT	C00025	29985	5460299	HMDB00148	4573882	MTBLC29985	NIL	glu__L	NIL
L-Glutamine	CF:C5H10N2O3	InChI-key:InChiKey=ZDXPYRJPNDTMRX-VKHMYHEASA-N	L-glutamine	GLN	C00064	58359	6992086	HMDB00641	NIL	MTBLC58359	MNXM37	gln__L	NIL
L-Histidine	CF:C6H9N3O2	InChI-key:InChiKey=HNDVDQJCIGZPNO-YFKPBYRVSA-N	L-histidine	HIS	C00135	57595	6971009	HMDB00177	NIL	MTBLC57595	MNXM134	his__L	NIL
L-Histidinol	CF:C6H11N3O	InChI-key:InChiKey=ZQISRDCJNBUVMM-YFKPBYRVSA-N	histidinol	HISTIDINOL	C00860	57699	6950298	HMDB03431	NIL	NIL	MNXM1281	histd	cpd00641
L-TYROSINE	CF:C9H11NO3	InChI-key:InChiKey=OUYCCCASQSFEME-QMMMGPOBSA-N	L-tyrosine	TYR	C00082	58315	6942100	HMDB00158	NIL	MTBLC58315	MNXM76	tyr__L	NIL
Lysine	CF:nan	InChI-key:InChiKey=nan	L-lysine	LYS	C00047	32551	5460926	HMDB00182	5747	MTBLC32551	MNXM78	lys__L	NIL
Methacrylamide	CF:C4H7NO	InChI-key:InChiKey=FQPSGWSUVKBHSU-UHFFFAOYSA-N	methacrylamide	CPD-15585	NIL	51759	6595	NIL	NIL	NIL	MNXM61589	NIL	NIL
Morpholine	CF:C4H9NO	InChI-key:InChiKey=YNAVUWVOSKDBBP-UHFFFAOYSA-N	morpholine	MORPHOLINE	C14452	167868	5020115	HMDB31581	4199185	NIL	MNXM62554	NIL	cpd10151
N-acetyl putrescine	CF:C6H14N2O	InChI-key:InChiKey=KLZGKIDSEJWEDW-UHFFFAOYSA-N	N-acetylputrescine	CPD-569	C02714	58263	25243990	HMDB02064	109095	MTBLC58263	MNXM1153	NIL	cpd01758
N,N,N-TRIMETHYLLYSINE	CF:C9H20N2O2	InChI-key:InChiKey=MXNRLFUSFKVQSK-QMMMGPOBSA-N	N6,N6,N6-trimethyl-L-lysine	N6N6N6-TRIMETHYL-L-LYSINE	C03793	58100	6992003	HMDB01325	NIL	MTBLC58100	MNXM1486	NIL	cpd02374
Niacinamide	CF:C6H6N2O	InChI-key:InChiKey=DFPAKSUCGFBDDF-UHFFFAOYSA-N	nicotinamide	NIACINAMIDE	C00153	17154	936	HMDB01406	911	MTBLC17154	MNXM216	ncam	cpd00133
NICOTINAMIDE	CF:nan	InChI-key:InChiKey=nan	nicotinamide	NIACINAMIDE	C00153	17154	936	HMDB01406	911	MTBLC17154	MNXM216	ncam	cpd00133
O-SUCCINYL-HOMOSERINE	CF:nan	InChI-key:InChiKey=nan	O-succinyl-L-homoserine	O-SUCCINYL-L-HOMOSERINE	C01118	57661	46878420	NIL	NIL	NIL	MNXM820	suchms	cpd00822
Octopine	CF:C9H18N4O4	InChI-key:InChiKey=IMXSCCDUAFEIOE-RITPCOANSA-N	D-octopine	CPD-309	C04137	57520	6992007	NIL	NIL	MTBLC57520	MNXM3008	NIL	cpd02553
p-coumaric acid	CF:C9H8O3	InChI-key:InChiKey=NGSWKAQJJWESNS-ZZXKWVIFSA-N	4-coumarate	COUMARATE	C00811	12876	54708745	HMDB02035	4450678	MTBLC12876	MNXM505	NIL	cpd00604
Phenylalanine	CF:C9H11NO2	InChI-key:InChiKey=COLNVLDHVKWLRT-UHFFFAOYSA-N	L-phenylalanine	PHE	C00079	58095	6925665	HMDB00159	NIL	MTBLC58095	MNXM97	phe__L	NIL
Proline	CF:nan	InChI-key:InChiKey=nan	L-proline	PRO	C00148	60039	6971047	HMDB00162	NIL	MTBLC60039	MNXM114	pro__L	NIL
PTERIN	CF:C6H5N5O	InChI-key:InChiKey=HNXQXTQTPAJEJL-UHFFFAOYSA-N	a pterin	Pterins	NIL	26375	NIL	NIL	NIL	NIL	NIL	NIL	NIL
Pyrimidine	CF:C4H4N2	InChI-key:InChiKey=CZPWVGJYEJSRLH-UHFFFAOYSA-N	pyrimidine	PYRIMIDINE-RING	C00396	16898	9260	HMDB03361	NIL	NIL	MNXM4796	NIL	NIL
PYROGLUTAMIC ACID	CF:nan	InChI-key:InChiKey=nan	5-oxo-L-proline	5-OXOPROLINE	C01879	58402	5289118	HMDB00267	4451146	NIL	MNXM722719	NIL	cpd01293
RIBOFLAVIN	CF:nan	InChI-key:InChiKey=nan	riboflavin	RIBOFLAVIN	C00255	57986	45480541	HMDB00244	108964	NIL	MNXM270	ribflv	cpd00220
S-Adenosyl-homocysteine	CF:C14H20N6O5S	InChI-key:InChiKey=ZJUKTBDSGOFHSH-WFMPWKQPSA-N	S-adenosyl-L-homocysteine	ADENOSYL-HOMO-CYS	C00021	57856	25246222	HMDB00939	NIL	MTBLC57856	MNXM19	ahcys	cpd00019
Serine	CF:C3H7NO3	InChI-key:InChiKey=MTCFGRXMJLQNBG-UHFFFAOYSA-N	L-serine	SER	C00065	33384	6857581	HMDB00187	NIL	MTBLC33384	NIL	ser__L	NIL
sn-Glycero-3-phosphocholine	CF:C8H21NO6P	InChI-key:InChiKey=SUHOQUVVVLNYQR-MRVPVSSYSA-O	sn-glycero-3-phosphocholine	L-1-GLYCERO-PHOSPHORYLCHOLINE	D07349	16870	657272	NIL	NIL	NIL	MNXM367	g3pc	cpd00507
SORBIC ACID	CF:nan	InChI-key:InChiKey=nan	sorbate	CPD-3624	D05892	77869	1549237	HMDB29581	1266178	NIL	MNXM82480	NIL	cpd16648
SPERMIDINE	CF:C7H19N3	InChI-key:InChiKey=ATHGHQPFGPMSJY-UHFFFAOYSA-N	spermidine	SPERMIDINE	C00315	57834	6992097	HMDB01257	5360248	MTBLC57834	MNXM124	spmd	cpd00264
Spermine	CF:C10H26N4	InChI-key:InChiKey=PFNFFQXMRSDOHW-UHFFFAOYSA-N	spermine	SPERMINE	C00750	45725	446718	HMDB01256	394003	MTBLC45725	MNXM408	NIL	cpd00558
Threonine	CF:C4H9NO3	InChI-key:InChiKey=AYFVYJQAPQTCCC-GBXIJSLDSA-N	L-threonine	THR	C00188	57926	6971019	HMDB00167	NIL	MTBLC57926	MNXM142	thr__L	cpd00161
Thymine	CF:C5H6N2O2	InChI-key:InChiKey=RWQNBRDOKXIBIV-UHFFFAOYSA-N	thymine	THYMINE	C00178	17821	1135	HMDB00262	1103	MTBLC17821	MNXM386	thym	cpd00151
Trimethylamine N-oxide	CF:C3H9NO	InChI-key:InChiKey=UYPYRKYUKCHHIB-UHFFFAOYSA-N	trimethylamine N-oxide	TRIMETHYLAMINE-N-O	C01104	15724	1145	HMDB00925	1113	MTBLC15724	MNXM437	tmao	cpd00811
TRYPTAMINE	CF:nan	InChI-key:InChiKey=nan	tryptamine	TRYPTAMINE	C00398	57887	3985862	HMDB00303	3205163	MTBLC57887	MNXM806	NIL	cpd00318
Tryptophan	CF:C11H12N2O2	InChI-key:InChiKey=QIVBCDIJIAJPQS-VIFPVBQESA-N	L-tryptophan	TRP	C00078	57912	6923516	HMDB00929	NIL	MTBLC57912	MNXM94	trp__L	NIL
Tyramine	CF:C8H11NO	InChI-key:InChiKey=DZGWFCGJZKJUFP-UHFFFAOYSA-N	tyramine	TYRAMINE	C00483	327995	5249538	HMDB00306	4416910	MTBLC327995	MNXM603	tym	cpd00374
Tyrosine	CF:C9H11NO3	InChI-key:InChiKey=OUYCCCASQSFEME-UHFFFAOYSA-N	L-tyrosine	TYR	C00082	58315	6942100	HMDB00158	NIL	MTBLC58315	MNXM76	tyr__L	NIL
Uracil	CF:C4H4N2O2	InChI-key:InChiKey=ISAKRJDGNUQOIC-UHFFFAOYSA-N	uracil	URACIL	C00106	17568	1174	HMDB00300	1141	MTBLC17568	MNXM158	ura	cpd00092
Urocanic acid	CF:C6H6N2O2	InChI-key:InChiKey=LOIYMIARKYCTBW-OWOJBTEDSA-N	urocanate	UROCANATE	C00785	17771	5460052	HMDB00301	4573734	MTBLC17771	MNXM700	NIL	cpd00581
Valine	CF:C5H11NO2	InChI-key:InChiKey=KZSNJWFQEVHDMF-UHFFFAOYSA-N	L-valine	VAL	C00183	57762	6971018	HMDB00883	NIL	MTBLC57762	MNXM199	val__L	NIL
XANTHINE	CF:C5H4N4O2	InChI-key:InChiKey=LRFVTYWOQMYALW-UHFFFAOYSA-N	xanthine	XANTHINE	C00385	17712	1188	HMDB00292	1151	MTBLC17712	MNXM174	xan	cpd00309

Ambigous Queries
(2R)-6-methylpiperidine-2-carboxylic acid	CF:C7H13NO2	InChI-key:InChiKey=IHLDCUQUFBWSJU-PRJDIBJQSA-N	CPD-16549, CROTONO-BETAINE, CPD-821, CPD-17175 
(S)-1-carbamoylpyrrolidine-2-carboxylic acid	CF:C6H10N2O3	InChI-key:InChiKey=RTNFBJXLYMERBB-BYPYZUCNSA-N	CPD-19755, CPD-74 
2-Aminopyridine	CF:C5H6N2	InChI-key:InChiKey=ICSNLGPSRYBMBD-UHFFFAOYSA-N	CPD-25953, CPD-25955, CPD-25954, CPD-8864 
2-O-Methyladenosine	CF:C11H15N5O4	InChI-key:InChiKey=FPUGCISOLXNPPC-UHFFFAOYSA-N	CPD0-1653, CPD-19525, CPD-24500, 1-METHYLADENOSINE 
2-Piperidone; CE10; XUWHAWMETYGRKB-UHFFFAOYSA-N	CF:C5H9NO	InChI-key:InChiKey=XUWHAWMETYGRKB-UHFFFAOYSA-N	CPD-22482, CPD-12700, CPD-22476, CPD-12699, CPD-20950, CPD-22478 
3-Formylindole	CF:C9H7NO	InChI-key:InChiKey=OLNJUISKUQQNIM-UHFFFAOYSA-N	CPD-22295, 3-METHYLENEOXINDOLE, CPD-15131, 8-HYDROXYQUINOLINE, INDOLE-3-CARBOXALDEHYDE, QUINOLIN-21H-ONE, CPD-20768, QUINOLIN-2-OL, CPD-25960, CPD-15129, ISOQUINOLIN-12H-ONE, QUINOLIN-4-OL 
3-hydroxy-1,2-dimethylpyridin-4(1H)-one	CF:C7H9NO2	InChI-key:InChiKey=TZXKOCQBRNJULO-UHFFFAOYSA-N	CPD-22823, CPD0-1467, CPD-13906 
3-Methylpyrazole	CF:C4H6N2	InChI-key:InChiKey=XKVUYEYANWFIJX-UHFFFAOYSA-N	CPD0-1652, CPD-11021 
3-Octanol	CF:C8H18O	InChI-key:InChiKey=NMRPBPVERJPACX-UHFFFAOYSA-N	CPD-18995, 2-ETHYLHEXAN-1-OL, OCTANOL 
4-Hydroxy-6-methyl-2-pyrone	CF:C6H6O3	InChI-key:InChiKey=NSYSSMYQPLSPOD-UHFFFAOYSA-N	CPD-15508, PYROGALLOL, CPD-8130, CPD-11572, CPD-10205, CPD-16 
4-Methylpyrimidine	CF:C5H6N2	InChI-key:InChiKey=LVILGAOSPDLNRM-UHFFFAOYSA-N	CPD-25953, CPD-25955, CPD-25954, CPD-8864 
4`-Aminoacetanilide	CF:C8H10N2O	InChI-key:InChiKey=CHMBIJAOCISYEW-UHFFFAOYSA-N	CPD-23279, CPD-19991, CPD-12424 
5'-S-methyl-5'-thioadenosine	CF:C11H15N5O3S	InChI-key:InChiKey=WUUGFSXJNOTRMR-IOSLPCCCSA-N	5-METHYLTHIOADENOSINE, 5-METHYLTHIOFORMYCIN 
Acetaminophen; CE0; RZVAJINKPMORJF-UHFFFAOYSA-N	CF:C8H9NO2	InChI-key:InChiKey=RZVAJINKPMORJF-UHFFFAOYSA-N	CPD-2205, D-PHENYLGLYCINE, CPD-15315, CPD-10523, CPD0-1408, CPD-12383, CPD-1041, CPD-16546, CPD-7669, R-MANDELAMIDE 
Betaine; CE30; CE10; KWIUHFFTVRNATP-UHFFFAOYSA-N	CF:C5H11NO2	InChI-key:InChiKey=KWIUHFFTVRNATP-UHFFFAOYSA-N	BETAINE, L-2-AMINOPENTANOIC-ACID, CPD-26407, 5-AMINOPENTANOATE, CPD-8140, CPD-23269, CPD-3642, CPD-6142, CPD-124, VAL, CPD-25455 
Crotonoside	CF:C10H13N5O5	InChI-key:InChiKey=MIKUYHXYGGJMLM-UUOKFMHZSA-N	CPD0-2013, CPD0-2086, GUANOSINE, CPD-15142, CPD-12381 
D-Pantothenic Acid	CF:C9H17NO5	InChI-key:InChiKey=GHOKWGTUZJEAQD-ZETCQYMHSA-N	#<"PANTOTHENATE" instance frame in METABASE[F] @ #x10028a7c512>, CPD-22851 
Diethyl-phthalate	CF:C12H14O4	InChI-key:InChiKey=FLKPEMZONWLCSK-UHFFFAOYSA-N	CPD-23483, CPD-9875 
DL-3-Aminoisobutyric acid	CF:C4H9NO2	InChI-key:InChiKey=QCHPKSFMDHPSNR-UHFFFAOYSA-N	CPD0-2276, CPD-19042, CPD-24435, CPD-4748, CPD0-1942, DIMETHYL-GLYCINE, CPD-17880, CPD0-1952, 4-AMINO-BUTYRATE, CPD-471, CPD-14303, CPD-6141, CPD-466, CPD-8145, CPD-298 
Hydroxyproline	CF:C5H9NO3	InChI-key:InChiKey=PMMYEEVYMWASQN-DMTCNVIQSA-N	CPD-664, 5-AMINO-2-OXOPENTANOATE, CPD-15178, 3-HYDROXY-L-PROLINE, CIS-4-HYDROXY-D-PROLINE, L-GLUTAMATE_GAMMA-SEMIALDEHYDE, CPD-299, GLUTAMATE-1-SEMIALDEHYDE, CPD-20101, 4-HYDROXY-L-PROLINE, 5-AMINO-LEVULINATE 
Indole-3-carboxyaldehyde	CF:C9H7NO	InChI-key:InChiKey=OLNJUISKUQQNIM-UHFFFAOYSA-N	CPD-22295, 3-METHYLENEOXINDOLE, CPD-15131, 8-HYDROXYQUINOLINE, INDOLE-3-CARBOXALDEHYDE, QUINOLIN-21H-ONE, CPD-20768, QUINOLIN-2-OL, CPD-25960, CPD-15129, ISOQUINOLIN-12H-ONE, QUINOLIN-4-OL 
L-beta-Homothreonine	CF:C5H11NO3	InChI-key:InChiKey=NIVRJEWVLMOZNV-QWWZWVQMSA-N	CPD-8857, CPD-8128 
L-Pipecolic acid; CE10; HXEACLLIILLPRG-YFKPBYRVSA-N	CF:C6H11NO2	InChI-key:InChiKey=HXEACLLIILLPRG-YFKPBYRVSA-N	CPD-17722, VIGABATRIN, CPD-904, CPD-19526, CPD-8139, L-PIPECOLATE, CPD-11619, CPD-30, CPD-11627, CPD-15903, CPD-20799, CPD-19574, CPD-17526 
Methioninesulfoxide	CF:C5H11NO3S	InChI-key:InChiKey=QEFRNWWLZKMPFJ-YGVKFDHGSA-N	#<"L-Methionine-sulfoxides" class frame in METABASE[F] @ #x100289f4432>, #<"CPD0-1959" class frame in METABASE[F] @ #x10026d72432>, CPD-8989, CPD-8990, CPD-9280 
N-Acetylarginine; CE10; SNEIUMQYRCDYCH-LURJTMIESA-N	CF:C8H16N4O3	InChI-key:InChiKey=SNEIUMQYRCDYCH-LURJTMIESA-N	CPD-9291, CPD0-2017 
N6-Methyladenosine	CF:C11H15N5O4	InChI-key:InChiKey=VQAYFKKCNSOZKM-IOSLPCCCSA-N	CPD0-1653, CPD-19525, CPD-24500, 1-METHYLADENOSINE 
P-OCTOPAMINE	CF:C8H11NO2	InChI-key:InChiKey=QHGUCRYDKWKLMG-QMMMGPOBSA-N	CPD-22824, CPD0-1605, CPD-8853 
PANTOTHENATE	CF:C9H17NO5	InChI-key:InChiKey=GHOKWGTUZJEAQD-UHFFFAOYSA-N	#<"PANTOTHENATE" instance frame in METABASE[F] @ #x10028a7c512>, CPD-22851 
Phenanzine-1_6-dicarboxylic acid	CF:C14H8N2O4	InChI-key:InChiKey=MJALVONLCNWZHK-UHFFFAOYSA-N	CPD-12988, CPD-19104 
Piperidine	CF:C5H11N	InChI-key:InChiKey=NQRYJNQNLNOLGT-UHFFFAOYSA-N	#<"PIPERIDINE" instance frame in METABASE[F] @ #x10026c843d2>, CPD-22921 
Piracetam	CF:C6H10N2O2	InChI-key:InChiKey=GMZVRMREEHBGGF-UHFFFAOYSA-N	CPD-24777, ECTOINE 

Unknown Queries
1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE	CF:nan	InChI-key:InChiKey=nan
2-((7-acetamido-1,2,3-trimethoxy-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-10-yl)amino)-N-(2,4-dimethoxyphenyl)-4-(methylthio)butanamide	CF:C34H41N3O8S	InChI-key:InChiKey=DXJGGEVMIZJZLN-UHFFFAOYSA-N
3-Amino-9-ethylcarbazole	CF:C14H14N2	InChI-key:InChiKey=OXEUETBFKVCRNP-UHFFFAOYSA-N
4-Piperidinecarboxamide	CF:C6H12N2O	InChI-key:InChiKey=DPBWFNDFMCCGGJ-UHFFFAOYSA-N
Camellimidazole E	CF:C8H12N4O	InChI-key:InChiKey=ZXLSYCLWVLPQTN-UHFFFAOYSA-N
Guanylurea	CF:C2H6N4O	InChI-key:InChiKey=SQSPRWMERUQXNE-UHFFFAOYSA-N
N-METHYLNICOTINAMIDE	CF:nan	InChI-key:InChiKey=nan
N-Nitrosopiperidine (NPIP)	CF:C5H10N2O	InChI-key:InChiKey=UWSDONTXWQOZFN-UHFFFAOYSA-N
